transaction_id,order_date,ship_date,customer_id,product_id,product_category,quantity,unit_price,city,state,payment_type,order_status,ingestion_date,gender_clean,customer_age_clean,age_band,discount_pct_clean,gross_amount,net_amount,shipping_delay_days,order_year,order_month,_ingested_at,_source_file
39164,2024-11-30,2024-12-06,CUST54905,PROD32152,Furniture,6,1316.99,Dallas,TX,Card,Delivered,2026-05-31,Female,56,45-59,0.00,7901.94,7901.94,6,2024,11,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
33386,2024-12-06,2024-12-08,CUST18555,PROD27244,Sports,5,110.82,Houston,TX,Crypto,Returned,2026-05-31,Male,40,30-44,0.00,554.10,554.10,2,2024,12,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
1289,2025-02-06,2025-02-16,CUST152308,PROD9867,Grocery,10,33.83,Philadelphia,PA,COD,Cancelled,2026-05-31,Male,53,45-59,0.00,338.30,338.30,10,2025,2,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
39612,2024-05-01,2024-05-11,CUST7071,PROD36228,Furniture,4,407.80,Houston,TX,UPI,Returned,2026-05-31,Female,40,30-44,36.66,1631.20,1033.20,10,2024,5,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
30074,2024-11-28,2024-12-01,CUST111541,PROD10024,Furniture,2,1151.13,San Antonio,TX,COD,Delivered,2026-05-31,Female,,Unknown,0.00,2302.26,2302.26,3,2024,11,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
141,2023-05-20,2023-05-18,CUST26852,PROD46281,Fashion,9,139.29,Philadelphia,PA,UPI,Cancelled,2026-05-31,Male,,Unknown,0.00,1253.61,1253.61,-2,2023,5,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
35661,2025-03-01,2025-03-02,CUST54645,PROD34855,Electronics,10,1318.33,San Diego,CA,Card,Returned,2026-05-31,Female,,Unknown,42.35,13183.30,7600.17,1,2025,3,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
22801,2025-10-16,2025-10-13,CUST127037,PROD25230,Furniture,4,1386.26,San Antonio,TX,COD,Cancelled,2026-05-31,Unknown,51,45-59,71.83,5545.04,1562.04,-3,2025,10,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
39218,2024-09-12,2024-09-18,CUST168102,PROD8088,Sports,7,483.95,Los Angeles,CA,Card,Delivered,2026-05-31,Male,67,60+,29.25,3387.65,2396.76,6,2024,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
19751,2025-09-06,2025-09-16,CUST8096,PROD14144,Grocery,4,5.39,San Jose,CA,UPI,Cancelled,2026-05-31,Female,,Unknown,0.00,21.56,21.56,10,2025,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
6938,2025-01-26,2025-01-26,CUST120531,PROD19564,Grocery,10,30.02,Dallas,TX,COD,Delivered,2026-05-31,Female,,Unknown,0.00,300.20,300.20,0,2025,1,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
20492,2025-02-10,2025-02-20,CUST172603,PROD26146,Electronics,2,517.85,Chicago,IL,Crypto,Cancelled,2026-05-31,Male,0,<18,0.00,1035.70,1035.70,10,2025,2,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
37488,2025-11-07,2025-11-10,CUST81383,PROD40279,Electronics,8,135.39,Chicago,IL,Crypto,Returned,2026-05-31,Unknown,52,45-59,29.08,1083.12,768.15,3,2025,11,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
3703,2025-02-04,2025-02-14,CUST116220,PROD6778,Sports,10,538.02,San Jose,CA,COD,Returned,2026-05-31,Female,,Unknown,0.00,5380.20,5380.20,10,2025,2,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
43009,2024-04-05,2024-04-05,CUST144408,PROD5873,Grocery,10,22.09,Philadelphia,PA,,Delivered,2026-05-31,Male,,Unknown,0.00,220.90,220.90,0,2024,4,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
26505,2025-10-02,2025-10-11,CUST5166,PROD32543,Fashion,9,47.24,Los Angeles,CA,Crypto,Returned,2026-05-31,Male,,Unknown,47.31,425.16,224.02,9,2025,10,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
36694,2024-10-21,2024-10-25,CUST55450,PROD20733,Grocery,8,28.50,San Jose,CA,COD,Delivered,2026-05-31,Male,0,<18,0.00,228.00,228.00,4,2024,10,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
3586,2025-12-16,2025-12-24,CUST150788,PROD20836,Fashion,5,411.56,San Jose,CA,COD,Returned,2026-05-31,Female,,Unknown,34.06,2057.80,1356.91,8,2025,12,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
25555,2025-07-12,2025-07-21,CUST89851,PROD21700,Sports,3,438.97,San Antonio,TX,Card,Delivered,2026-05-31,Male,,Unknown,78.01,1316.91,289.59,9,2025,7,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
35700,2024-12-07,2024-12-09,CUST139170,PROD4964,Electronics,6,331.34,San Diego,CA,Crypto,Cancelled,2026-05-31,Male,,Unknown,0.00,1988.04,1988.04,2,2024,12,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
34677,2023-07-29,2023-08-04,CUST49757,PROD13231,Sports,9,778.89,San Diego,CA,Card,Cancelled,2026-05-31,Male,54,45-59,0.00,7010.01,7010.01,6,2023,7,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
34170,2024-02-14,2024-02-22,CUST99149,PROD49656,Sports,9,236.54,Houston,TX,,Returned,2026-05-31,Female,39,30-44,0.00,2128.86,2128.86,8,2024,2,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
36846,2023-09-20,2023-09-18,CUST98505,PROD45475,Furniture,8,1380.26,San Antonio,TX,Crypto,Returned,2026-05-31,Female,,Unknown,0.00,11042.08,11042.08,-2,2023,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
9915,2025-12-26,2025-12-23,CUST56967,PROD1666,Sports,2,384.92,Houston,TX,,Delivered,2026-05-31,Female,,Unknown,0.01,769.84,769.76,-3,2025,12,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
30628,2023-12-23,2023-12-25,CUST549,PROD26747,Electronics,5,794.66,Phoenix,AZ,UPI,Delivered,2026-05-31,Unknown,19,18-29,38.86,3973.30,2429.28,2,2023,12,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
22452,2025-09-30,2025-10-06,CUST84232,PROD2563,Sports,2,130.70,San Jose,CA,,Returned,2026-05-31,Female,,Unknown,0.00,261.40,261.40,6,2025,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
16194,2025-03-31,2025-04-09,CUST25847,PROD37172,Furniture,2,187.95,San Antonio,TX,,Returned,2026-05-31,Male,,Unknown,46.41,375.90,201.44,9,2025,3,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
47902,2025-02-12,2025-02-14,CUST14509,PROD36133,Electronics,6,1770.61,Los Angeles,CA,UPI,Delivered,2026-05-31,Female,,Unknown,0.00,10623.66,10623.66,2,2025,2,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
20338,2023-11-13,2023-11-22,CUST22744,PROD1386,Sports,7,44.00,Dallas,TX,Crypto,Cancelled,2026-05-31,Female,30,30-44,62.38,308.00,115.87,9,2023,11,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
12768,2025-09-26,2025-09-28,CUST168532,PROD12262,Sports,8,475.61,Phoenix,AZ,Card,Cancelled,2026-05-31,Unknown,,Unknown,0.00,3804.88,3804.88,2,2025,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
37123,2024-04-28,2024-04-25,CUST151064,PROD8878,Grocery,7,30.33,San Antonio,TX,Crypto,Delivered,2026-05-31,Male,,Unknown,0.00,212.31,212.31,-3,2024,4,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
40165,2024-05-21,2024-05-30,CUST102729,PROD42150,Fashion,8,132.57,Dallas,TX,,Returned,2026-05-31,Male,,Unknown,79.07,1060.56,221.98,9,2024,5,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
16083,2023-03-13,2023-03-11,CUST2833,PROD1502,Electronics,4,1217.16,Los Angeles,CA,Crypto,Returned,2026-05-31,Female,,Unknown,43.96,4868.64,2728.39,-2,2023,3,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
13203,2025-09-18,2025-09-24,CUST81297,PROD35618,Furniture,4,1299.06,San Diego,CA,COD,Delivered,2026-05-31,Male,,Unknown,11.27,5196.24,4610.62,6,2025,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
20912,2024-12-08,2024-12-17,CUST95787,PROD12115,Electronics,10,916.56,Houston,TX,UPI,Delivered,2026-05-31,Female,,Unknown,74.09,9165.60,2374.81,9,2024,12,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
7335,2025-07-14,2025-07-12,CUST23583,PROD39307,Furniture,3,996.04,San Antonio,TX,UPI,Delivered,2026-05-31,Unknown,35,30-44,81.99,2988.12,538.16,-2,2025,7,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
8661,2025-11-21,2025-11-30,CUST115927,PROD23391,Electronics,10,1881.84,Houston,TX,,Delivered,2026-05-31,Female,4,<18,3.17,18818.40,18221.86,9,2025,11,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
5412,2023-09-17,2023-09-19,CUST14840,PROD6474,Sports,10,665.76,San Diego,CA,Card,Delivered,2026-05-31,Male,6,<18,0.00,6657.60,6657.60,2,2023,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
1132,2024-02-24,2024-02-26,CUST160924,PROD44229,Sports,7,712.23,San Jose,CA,COD,Delivered,2026-05-31,Female,63,60+,63.50,4985.61,1819.75,2,2024,2,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
4840,2024-03-17,2024-03-19,CUST82406,PROD26146,Sports,1,296.20,Dallas,TX,Crypto,Delivered,2026-05-31,Female,23,18-29,0.00,296.20,296.20,2,2024,3,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
14826,2024-01-23,2024-01-30,CUST58193,PROD35676,Grocery,1,17.43,San Diego,CA,,Returned,2026-05-31,Female,,Unknown,86.00,17.43,2.44,7,2024,1,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
29263,2024-07-11,2024-07-13,CUST102318,PROD13497,Electronics,5,1180.30,Los Angeles,CA,Crypto,Delivered,2026-05-31,Female,54,45-59,29.06,5901.50,4186.52,2,2024,7,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
25740,2023-06-16,2023-06-23,CUST197707,PROD37317,Furniture,2,120.97,Phoenix,AZ,Crypto,Returned,2026-05-31,Female,,Unknown,0.00,241.94,241.94,7,2023,6,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
41429,2023-09-15,2023-09-23,CUST15788,PROD561,Sports,10,671.56,New York,NY,Crypto,Cancelled,2026-05-31,Male,10,<18,0.00,6715.60,6715.60,8,2023,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
36156,2025-07-17,2025-07-20,CUST181626,PROD21657,Fashion,2,438.04,New York,NY,UPI,Returned,2026-05-31,Male,,Unknown,16.79,876.08,728.99,3,2025,7,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
39807,2024-03-06,2024-03-04,CUST85074,PROD13922,Electronics,5,1996.27,San Diego,CA,COD,Delivered,2026-05-31,Male,2,<18,74.73,9981.35,2522.29,-2,2024,3,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
41186,2025-09-24,2025-09-26,CUST177091,PROD41050,Electronics,10,1663.09,San Diego,CA,COD,Cancelled,2026-05-31,Male,34,30-44,73.20,16630.90,4457.08,2,2025,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
44084,2025-09-20,2025-09-29,CUST189560,PROD43361,Electronics,5,599.62,San Jose,CA,COD,Returned,2026-05-31,Unknown,,Unknown,18.01,2998.10,2458.14,9,2025,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
26149,2023-02-10,2023-02-19,CUST82078,PROD37436,Furniture,6,799.39,Houston,TX,Crypto,Returned,2026-05-31,Male,,Unknown,66.79,4796.34,1592.86,9,2023,2,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
34179,2023-04-01,2023-04-10,CUST91126,PROD2102,Electronics,8,1970.65,Philadelphia,PA,Crypto,Returned,2026-05-31,Female,,Unknown,0.00,15765.20,15765.20,9,2023,4,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
49357,2024-05-02,2024-05-10,CUST62650,PROD2151,Furniture,3,707.53,San Antonio,TX,Crypto,Cancelled,2026-05-31,Male,69,60+,4.84,2122.59,2019.86,8,2024,5,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
47790,2024-01-11,2024-01-19,CUST113965,PROD15186,Furniture,9,1462.16,Los Angeles,CA,COD,Returned,2026-05-31,Male,,Unknown,0.00,13159.44,13159.44,8,2024,1,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
20006,2024-11-28,2024-12-08,CUST190147,PROD36096,Furniture,6,903.30,Houston,TX,COD,Delivered,2026-05-31,Female,10,<18,0.00,5419.80,5419.80,10,2024,11,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
31117,2023-05-28,2023-05-27,CUST69660,PROD9149,Furniture,6,118.19,Dallas,TX,Card,Delivered,2026-05-31,Male,51,45-59,42.38,709.14,408.61,-1,2023,5,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
38398,2023-08-26,2023-08-28,CUST134520,PROD13667,Furniture,5,882.32,Houston,TX,UPI,Cancelled,2026-05-31,Unknown,,Unknown,14.12,4411.60,3788.68,2,2023,8,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
38557,2023-05-12,2023-05-17,CUST197497,PROD9017,Grocery,7,29.45,Los Angeles,CA,Crypto,Delivered,2026-05-31,Female,,Unknown,0.00,206.15,206.15,5,2023,5,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
25051,2025-03-13,2025-03-15,CUST92100,PROD27612,Electronics,9,1031.79,Phoenix,AZ,Crypto,Cancelled,2026-05-31,Male,,Unknown,0.00,9286.11,9286.11,2,2025,3,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
31541,2024-08-30,2024-08-31,CUST171956,PROD30325,Furniture,7,903.14,San Jose,CA,UPI,Delivered,2026-05-31,Unknown,1,<18,46.20,6321.98,3401.23,1,2024,8,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
47566,2023-03-13,2023-03-17,CUST74335,PROD33203,Fashion,5,219.02,Chicago,IL,COD,Delivered,2026-05-31,Female,,Unknown,49.67,1095.10,551.16,4,2023,3,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
30096,2025-09-14,2025-09-22,CUST159100,PROD6316,Furniture,10,979.45,San Diego,CA,Crypto,Returned,2026-05-31,Male,,Unknown,0.00,9794.50,9794.50,8,2025,9,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
43966,2023-01-24,2023-01-30,CUST29442,PROD27250,Electronics,7,969.11,San Diego,CA,Crypto,Returned,2026-05-31,Male,,Unknown,0.00,6783.77,6783.77,6,2023,1,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
43048,2023-08-12,2023-08-21,CUST101315,PROD36413,Fashion,10,87.07,New York,NY,Crypto,Returned,2026-05-31,Unknown,,Unknown,94.27,870.70,49.89,9,2023,8,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
31919,2023-07-01,2023-07-06,CUST29063,PROD19819,Electronics,7,831.72,Philadelphia,PA,,Returned,2026-05-31,Unknown,35,30-44,0.00,5822.04,5822.04,5,2023,7,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
9333,2024-08-22,2024-08-31,CUST109368,PROD4632,Grocery,1,32.03,New York,NY,COD,Delivered,2026-05-31,Unknown,,Unknown,0.00,32.03,32.03,9,2024,8,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
26105,2023-08-09,2023-08-09,CUST94554,PROD22717,Grocery,10,40.07,Chicago,IL,,Delivered,2026-05-31,Male,6,<18,0.00,400.70,400.70,0,2023,8,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
49157,2023-07-21,2023-07-27,CUST133582,PROD44202,Fashion,5,20.02,San Jose,CA,UPI,Returned,2026-05-31,Male,,Unknown,33.50,100.10,66.57,6,2023,7,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
32154,2025-02-16,2025-02-26,CUST34194,PROD1548,Electronics,7,1424.25,San Jose,CA,COD,Cancelled,2026-05-31,Female,,Unknown,35.35,9969.75,6445.44,10,2025,2,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
4616,2025-01-13,2025-01-14,CUST137763,PROD46916,Electronics,9,1606.56,Los Angeles,CA,UPI,Delivered,2026-05-31,Male,,Unknown,19.54,14459.04,11633.74,1,2025,1,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
20870,2024-03-05,2024-03-07,CUST22222,PROD38900,Furniture,9,233.33,San Diego,CA,COD,Cancelled,2026-05-31,Male,7,<18,0.00,2099.97,2099.97,2,2024,3,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
46165,2025-01-17,2025-01-24,CUST56015,PROD39014,Grocery,7,11.24,San Diego,CA,COD,Delivered,2026-05-31,Female,23,18-29,88.38,78.68,9.14,7,2025,1,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
3999,2023-10-12,2023-10-12,CUST3592,PROD40709,Sports,5,755.54,New York,NY,,Cancelled,2026-05-31,Female,19,18-29,48.25,3777.70,1954.96,0,2023,10,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
11839,2024-01-13,2024-01-18,CUST76387,PROD24963,Furniture,6,952.04,San Diego,CA,COD,Cancelled,2026-05-31,Male,,Unknown,0.00,5712.24,5712.24,5,2024,1,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
39966,2023-06-04,2023-06-05,CUST70337,PROD47671,Electronics,1,1396.53,Phoenix,AZ,,Delivered,2026-05-31,Male,38,30-44,0.00,1396.53,1396.53,1,2023,6,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
26227,2024-07-24,2024-07-29,CUST25528,PROD46903,Grocery,8,34.83,Phoenix,AZ,COD,Delivered,2026-05-31,Female,,Unknown,20.29,278.64,222.10,5,2024,7,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
44348,2025-05-17,2025-05-22,CUST92378,PROD2631,Electronics,4,152.75,San Antonio,TX,Card,Returned,2026-05-31,Female,,Unknown,14.43,611.00,522.83,5,2025,5,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
43404,2025-06-15,2025-06-16,CUST67120,PROD20078,Electronics,7,661.25,San Jose,CA,,Returned,2026-05-31,Female,55,45-59,37.85,4628.75,2876.77,1,2025,6,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
49280,2023-03-11,2023-03-14,CUST50502,PROD30663,Fashion,6,126.40,Dallas,TX,Crypto,Returned,2026-05-31,Unknown,,Unknown,31.68,758.40,518.14,3,2023,3,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
25862,2023-08-21,2023-08-30,CUST2003,PROD26696,Electronics,6,1089.55,Houston,TX,COD,Cancelled,2026-05-31,Female,37,30-44,0.00,6537.30,6537.30,9,2023,8,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
30846,2024-11-20,2024-11-19,CUST34256,PROD42260,Fashion,1,453.93,New York,NY,Card,Cancelled,2026-05-31,Female,,Unknown,31.68,453.93,310.12,-1,2024,11,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
36713,2024-04-19,2024-04-17,CUST25133,PROD610,Grocery,7,23.15,San Antonio,TX,UPI,Cancelled,2026-05-31,Female,,Unknown,0.00,162.05,162.05,-2,2024,4,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
20517,2024-02-03,2024-02-03,CUST125389,PROD37813,Furniture,2,657.02,New York,NY,UPI,Returned,2026-05-31,Female,,Unknown,67.46,1314.04,427.59,0,2024,2,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
46986,2024-04-17,2024-04-21,CUST163058,PROD16886,Furniture,7,444.16,Phoenix,AZ,Crypto,Returned,2026-05-31,Unknown,,Unknown,99.30,3109.12,21.76,4,2024,4,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
43391,2024-12-03,2024-12-08,CUST142966,PROD33169,Furniture,10,591.49,Chicago,IL,Card,Returned,2026-05-31,Male,,Unknown,0.00,5914.90,5914.90,5,2024,12,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
3317,2025-12-04,2025-12-06,CUST49558,PROD30498,Electronics,10,1096.66,Houston,TX,COD,Delivered,2026-05-31,Female,,Unknown,0.00,10966.60,10966.60,2,2025,12,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
9883,2024-12-11,2024-12-21,CUST105346,PROD35151,Electronics,1,825.95,Chicago,IL,UPI,Delivered,2026-05-31,Female,,Unknown,82.02,825.95,148.51,10,2024,12,2026-06-07T15:24:34.918Z,/Volumes/cowork_op48/dw_raw/raw_data/sales_transactions.csv
